0,1,2,3
631,599,778,282
820,147,455,552
372,648,754,320
628,846,378,275
892,732,668,447
894,143,548,434
860,220,653,489
253,594,767,156
802,675,557,625
232,82,728,2
796,170,749,692
846,788,490,714
474,77,116,543
730,672,874,406
564,405,378,730
257,861,895,169
55,520,982,816
631,599,778,282
820,147,455,552
372,648,754,320
628,846,378,275
892,732,668,447
894,143,548,434
860,220,653,489
253,594,767,156
802,675,557,625
232,82,728,2
796,170,749,692
846,788,490,714
474,77,116,543
730,672,874,406
564,405,378,730
257,861,895,169
55,520,982,816
631,599,778,282
820,147,455,552
372,648,754,320
628,846,378,275
892,732,668,447
894,143,548,434
860,220,653,489
253,594,767,156
802,675,557,625
232,82,728,2
796,170,749,692
846,788,490,714
474,77,116,543
730,672,874,406
564,405,378,730
257,861,895,169
55,520,982,816
631,599,778,282
820,147,455,552
372,648,754,320
628,846,378,275
892,732,668,447
894,143,548,434
860,220,653,489
253,594,767,156
802,675,557,625
232,82,728,2
796,170,749,692
846,788,490,714
474,77,116,543
730,672,874,406
564,405,378,730
257,861,895,169
55,520,982,816
232,82,728,2
796,170,749,692
846,788,490,714
474,77,116,543
730,672,874,406
564,405,378,730
257,861,895,169
55,520,982,816
232,82,728,2
796,170,749,692
846,788,490,714
474,77,116,543
730,672,874,406
564,405,378,730
257,861,895,169
55,520,982,816
232,82,728,2
796,170,749,692
846,788,490,714
474,77,116,543
730,672,874,406
564,405,378,730
257,861,895,169
55,520,982,816
232,82,728,2
796,170,749,692
846,788,490,714
474,77,116,543
730,672,874,406
564,405,378,730
257,861,895,169
55,520,982,816
232,82,728,2
796,170,749,692
846,788,490,714
474,77,116,543
730,672,874,406
564,405,378,730
257,861,895,169
55,520,982,816
